Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
08-04-2017,12815920,6660608,9334494,7280150,308838
09-04-2017,11291392,5683746,8077875,6396104,756145
10-04-2017,11819128,5762588,8678774,7162611,954504
11-04-2017,11736951,5877897,8591469,7468021,953037
12-04-2017,11716914,6041766,8590463,7495873,972755
13-04-2017,11958775,6327822,8553816,7573209,1047409
14-04-2017,11443718,5846681,8048741,13144962,1124587
15-04-2017,11042206,5617332,7450464,11963789,1181031
16-04-2017,10010095,5108739,6713215,10040949,1200146
17-04-2017,10765545,10236693,7481411,11302669,1469013
18-04-2017,11003682,13837155,7720202,11967713,1699884
19-04-2017,10766018,14530591,7608793,11640174,1725940
20-04-2017,10826572,15603034,7578070,11181908,1820033
21-04-2017,11324112,18076042,7818554,11363409,1953608
22-04-2017,11234996,17750769,7449324,10274500,1890190
